method,cycle,avg_delay,throughput,queue_length,efficiency,total_stops,fuel_consumption,green_times,optimization_time
Fixed Timing,0,0.3409090909090909,44,1,0.36666666666666664,1,0.15,"[30, 30, 30, 30]",
Fixed Timing,1,0.28846153846153844,52,1,0.43333333333333335,1,0.15,"[30, 30, 30, 30]",
Fixed Timing,2,1.6666666666666667,36,4,0.3,4,0.6,"[30, 30, 30, 30]",
Fixed Timing,3,0.0,37,0,0.30833333333333335,0,0.0,"[30, 30, 30, 30]",
Fixed Timing,4,0.0,42,0,0.35,0,0.0,"[30, 30, 30, 30]",
Fixed Timing,5,0.0,41,0,0.3416666666666667,0,0.0,"[30, 30, 30, 30]",
Fixed Timing,6,0.0,39,0,0.325,0,0.0,"[30, 30, 30, 30]",
Fixed Timing,7,0.0,37,0,0.30833333333333335,0,0.0,"[30, 30, 30, 30]",
Fixed Timing,8,0.0,39,0,0.325,0,0.0,"[30, 30, 30, 30]",
Fixed Timing,9,0.7692307692307693,39,2,0.325,2,0.3,"[30, 30, 30, 30]",
Fixed Timing,10,2.441860465116279,43,7,0.35833333333333334,7,1.05,"[30, 30, 30, 30]",
Fixed Timing,11,2.2222222222222223,54,7,0.45,8,1.2,"[30, 30, 30, 30]",
Fixed Timing,12,1.3636363636363635,44,2,0.36666666666666664,4,0.6,"[30, 30, 30, 30]",
Fixed Timing,13,0.0,40,0,0.3333333333333333,0,0.0,"[30, 30, 30, 30]",
Fixed Timing,14,0.0,44,0,0.36666666666666664,0,0.0,"[30, 30, 30, 30]",
Fixed Timing,15,0.0,37,0,0.30833333333333335,0,0.0,"[30, 30, 30, 30]",
Fixed Timing,16,0.6382978723404256,47,2,0.39166666666666666,2,0.3,"[30, 30, 30, 30]",
Fixed Timing,17,1.3953488372093024,43,4,0.35833333333333334,4,0.6,"[30, 30, 30, 30]",
Fixed Timing,18,0.3409090909090909,44,1,0.36666666666666664,1,0.15,"[30, 30, 30, 30]",
Fixed Timing,19,4.7560975609756095,41,13,0.3416666666666667,13,1.95,"[30, 30, 30, 30]",
Classical Optimization,0,0.0,35,0,0.32407407407407407,0,0.0,"[16, 60, 22, 10]",0.019972562789916992
Classical Optimization,1,0.0,45,0,0.4166666666666667,0,0.0,"[55, 33, 10, 10]",0.01700615882873535
Classical Optimization,2,0.5666666666666667,45,1,0.4166666666666667,1,0.255,"[51, 12, 10, 35]",0.015993595123291016
Classical Optimization,3,0.6388888888888888,36,2,0.34615384615384615,4,0.23,"[43, 10, 13, 38]",0.017000198364257812
Classical Optimization,4,0.42857142857142855,35,3,0.35,3,0.15,"[58, 13, 10, 19]",0.01605224609375
Classical Optimization,5,0.0,44,0,0.41509433962264153,0,0.0,"[60, 10, 26, 10]",0.015569448471069336
Classical Optimization,6,0.2564102564102564,39,2,0.36792452830188677,2,0.1,"[44, 42, 10, 10]",0.015974044799804688
Classical Optimization,7,0.0,36,0,0.34951456310679613,0,0.0,"[53, 10, 27, 13]",0.016005516052246094
Classical Optimization,8,0.3225806451612903,31,2,0.28703703703703703,2,0.1,"[50, 15, 10, 33]",0.016994714736938477
Classical Optimization,9,0.0,24,0,0.22429906542056074,0,0.0,"[35, 35, 10, 27]",0.016019821166992188
Classical Optimization,10,0.0,41,0,0.3761467889908257,0,0.0,"[36, 53, 10, 10]",0.016983985900878906
Classical Optimization,11,4.375,40,7,0.37383177570093457,7,1.75,"[50, 10, 37, 10]",0.0154266357421875
